,audvis,subject
0,0.168,CC110033
1,0.136,CC120347
2,0.144,CC120470
3,0.184,CC120640
4,0.136,CC120212
5,0.272,CC110174
6,0.248,CC110126
7,0.16,CC110045
8,0.136,CC120376
9,0.128,CC120276
10,0.128,CC112141
11,0.168,CC120137
12,0.136,CC120008
13,0.128,CC120313
14,0.128,CC120182
15,0.144,CC110101
16,0.128,CC120065
17,0.168,CC120550
18,0.16,CC110037
19,0.128,CC120469
20,0.136,CC120462
21,0.128,CC110087
22,0.128,CC120264
23,0.128,CC120319
24,0.136,CC120120
25,0.16,CC120061
26,0.152,CC110069
27,0.112,CC110056
28,0.152,CC110606
29,0.192,CC110187
30,0.136,CC120184
31,0.144,CC120049
32,0.136,CC120218
33,0.128,CC110319
34,0.2,CC120409
35,0.128,CC110182
36,0.136,CC110411
37,0.144,CC110098
38,0.136,CC120166
39,0.136,CC120727
40,0.184,CC120309
41,0.144,CC120764
42,0.152,CC120795
43,0.144,CC121111
44,0.144,CC121158
45,0.144,CC121317
46,0.144,CC121428
47,0.144,CC121106
48,0.136,CC121397
49,0.152,CC121144
50,0.184,CC121411
51,0.144,CC122172
52,0.128,CC210148
53,0.176,CC210250
54,0.144,CC121685
55,0.128,CC210182
56,0.16,CC122620
57,0.152,CC121479
58,0.136,CC220151
59,0.136,CC210314
60,0.192,CC220203
61,0.104,CC210051
62,0.256,CC121795
63,0.144,CC210023
64,0.144,CC122405
65,0.144,CC210174
66,0.144,CC210526
67,0.136,CC220223
68,0.104,CC210088
69,0.136,CC220234
70,0.136,CC220232
71,0.136,CC210124
72,0.136,CC210422
73,0.136,CC220372
74,0.128,CC210172
75,0.152,CC220323
76,0.136,CC220335
77,0.112,CC212153
78,0.168,CC210519
79,0.144,CC210657
80,0.144,CC210617
81,0.136,CC220284
82,0.128,CC220107
83,0.136,CC220115
84,0.152,CC220132
85,0.136,CC220098
86,0.12,CC220198
87,0.176,CC220511
88,0.152,CC220518
89,0.144,CC220535
90,0.128,CC220519
91,0.12,CC220713
92,0.256,CC220352
93,0.128,CC220419
94,0.136,CC221352
95,0.144,CC220974
96,0.144,CC221031
97,0.136,CC220506
98,0.144,CC221373
99,0.152,CC221336
100,0.168,CC221755
101,0.144,CC221648
102,0.136,CC221740
103,0.128,CC221775
104,0.136,CC220610
105,0.168,CC220567
106,0.136,CC221828
107,0.12,CC220635
108,0.136,CC220697
109,0.136,CC220901
110,0.152,CC220828
111,0.144,CC221733
112,0.136,CC220526
113,0.136,CC220920
114,0.128,CC221324
115,0.144,CC220843
116,0.128,CC221002
117,0.144,CC220999
118,0.152,CC221886
119,0.136,CC221220
120,0.224,CC221244
121,0.136,CC221033
122,0.136,CC221487
123,0.144,CC221935
124,0.144,CC222120
125,0.168,CC221511
126,0.136,CC222125
127,0.128,CC221585
128,0.12,CC221527
129,0.144,CC221565
130,0.16,CC221737
131,0.136,CC221595
132,0.128,CC222304
133,0.144,CC221977
134,0.144,CC222326
135,0.16,CC222367
136,0.128,CC222258
137,0.128,CC222496
138,0.136,CC222264
139,0.144,CC310051
140,0.144,CC222555
141,0.144,CC221980
142,0.136,CC222956
143,0.136,CC221954
144,0.136,CC310361
145,0.128,CC222652
146,0.144,CC310385
147,0.128,CC310397
148,0.144,CC222185
149,0.144,CC310473
150,0.128,CC320022
151,0.152,CC320002
152,0.144,CC310008
153,0.144,CC312058
154,0.136,CC222797
155,0.128,CC312222
156,0.136,CC310450
157,0.152,CC312149
158,0.136,CC320089
159,0.168,CC310086
160,0.144,CC223286
161,0.144,CC310129
162,0.152,CC320059
163,0.176,CC223115
164,0.144,CC223085
165,0.152,CC310142
166,0.144,CC310135
167,0.12,CC310052
168,0.128,CC310160
169,0.144,CC320088
170,0.136,CC310203
171,0.136,CC310224
172,0.152,CC310214
173,0.144,CC310331
174,0.112,CC310252
175,0.136,CC310256
176,0.144,CC320202
177,0.136,CC320206
178,0.192,CC310410
179,0.136,CC310414
180,0.136,CC310391
181,0.152,CC310400
182,0.136,CC320218
183,0.136,CC320267
184,0.16,CC320325
185,0.128,CC310463
186,0.128,CC320321
187,0.12,CC320336
188,0.136,CC320359
189,0.144,CC320429
190,0.136,CC320428
191,0.136,CC320107
192,0.136,CC320417
193,0.136,CC320478
194,0.144,CC320160
195,0.128,CC320608
196,0.128,CC320109
197,0.128,CC320687
198,0.136,CC320680
199,0.144,CC320297
200,0.136,CC320850
201,0.136,CC320342
202,0.12,CC320621
203,0.2,CC320870
204,0.136,CC320361
205,0.152,CC320893
206,0.184,CC320448
207,0.144,CC320379
208,0.144,CC320445
209,0.136,CC320576
210,0.144,CC321000
211,0.144,CC320904
212,0.12,CC320461
213,0.136,CC320574
214,0.128,CC320553
215,0.12,CC321025
216,0.12,CC320500
217,0.12,CC320636
218,0.144,CC320616
219,0.144,CC320651
220,0.144,CC320575
221,0.136,CC320568
222,0.152,CC321073
223,0.136,CC321087
224,0.136,CC321053
225,0.136,CC320759
226,0.168,CC320686
227,0.128,CC320776
228,0.144,CC320861
229,0.136,CC320661
230,0.136,CC320814
231,0.128,CC320698
232,0.168,CC321174
233,0.144,CC321203
234,0.144,CC320888
235,0.144,CC321137
236,0.128,CC321291
237,0.144,CC321368
238,0.248,CC321107
239,0.152,CC321069
240,0.208,CC321464
241,0.144,CC321428
242,0.384,CC321585
243,0.128,CC321557
244,0.136,CC321281
245,0.136,CC321595
246,0.104,CC410091
247,0.144,CC321154
248,0.104,CC410040
249,0.144,CC410086
250,0.12,CC321331
251,0.16,CC410173
252,0.136,CC410177
253,0.192,CC321594
254,0.144,CC321431
255,0.168,CC321504
256,0.144,CC321506
257,0.152,CC410222
258,0.136,CC321544
259,0.152,CC321880
260,0.256,CC410015
261,0.128,CC321899
262,0.144,CC410220
263,0.144,CC322186
264,0.192,CC410032
265,0.152,CC321529
266,0.16,CC410084
267,0.128,CC410248
268,0.128,CC410251
269,0.136,CC410094
270,0.152,CC410286
271,0.112,CC410101
272,0.144,CC410097
273,0.16,CC410289
274,0.144,CC410297
275,0.184,CC410354
276,0.192,CC410129
277,0.16,CC410121
278,0.16,CC410169
279,0.144,CC410113
280,0.144,CC410325
281,0.136,CC410387
282,0.128,CC321976
283,0.176,CC410179
284,0.696,CC410432
285,0.144,CC410243
286,0.152,CC412004
287,0.176,CC410226
288,0.128,CC420071
289,0.144,CC410284
290,0.128,CC420100
291,0.144,CC410390
292,0.184,CC410182
293,0.088,CC410287
294,0.136,CC420162
295,0.144,CC410323
296,0.128,CC420173
297,0.144,CC420094
298,0.12,CC420197
299,0.136,CC420198
300,0.128,CC420202
301,0.168,CC412021
302,0.128,CC420004
303,0.12,CC420167
304,0.264,CC420231
305,0.144,CC420143
306,0.296,CC420061
307,0.12,CC420060
308,0.152,CC420157
309,0.152,CC420075
310,0.144,CC420089
311,0.152,CC420229
312,0.256,CC420149
313,0.136,CC420091
314,0.152,CC420148
315,0.144,CC420137
316,0.12,CC420261
317,0.144,CC420244
318,0.128,CC420322
319,0.128,CC420348
320,0.136,CC420356
321,0.12,CC420182
322,0.12,CC420204
323,0.152,CC420392
324,0.144,CC420217
325,0.12,CC420180
326,0.152,CC420222
327,0.128,CC420412
328,0.12,CC420433
329,0.16,CC420226
330,0.152,CC420454
331,0.12,CC420435
332,0.136,CC420493
333,0.152,CC420236
334,0.128,CC420241
335,0.12,CC420260
336,0.144,CC420286
337,0.144,CC420566
338,0.144,CC420402
339,0.184,CC510086
340,0.104,CC510115
341,0.12,CC510076
342,0.136,CC420324
343,0.136,CC420383
344,0.136,CC420364
345,0.136,CC510163
346,0.112,CC510161
347,0.152,CC420396
348,0.12,CC510259
349,0.176,CC510256
350,0.24,CC420464
351,0.152,CC510255
352,0.128,CC420462
353,0.144,CC420582
354,0.152,CC510304
355,0.12,CC420623
356,0.112,CC510284
357,0.152,CC420776
358,0.144,CC420587
359,0.12,CC420729
360,0.16,CC510354
361,0.144,CC510043
362,0.152,CC510039
363,0.136,CC420720
364,0.144,CC420589
365,0.136,CC510050
366,0.152,CC510392
367,0.136,CC510393
368,0.144,CC510395
369,0.152,CC510208
370,0.16,CC510220
371,0.096,CC510237
372,0.152,CC510342
373,0.136,CC510473
374,0.128,CC510243
375,0.152,CC510486
376,0.16,CC510242
377,0.344,CC510480
378,0.16,CC510258
379,0.128,CC510483
380,0.144,CC510548
381,0.152,CC510329
382,0.16,CC510323
383,0.136,CC510321
384,0.152,CC510438
385,0.152,CC510551
386,0.128,CC510433
387,0.168,CC510629
388,0.152,CC510355
389,0.144,CC510415
390,0.128,CC510434
391,0.136,CC510474
392,0.136,CC520042
393,0.144,CC520013
394,0.152,CC520122
395,0.144,CC520127
396,0.128,CC520175
397,0.16,CC510609
398,0.128,CC510534
399,0.128,CC520239
400,0.144,CC510639
401,0.136,CC520211
402,0.136,CC520247
403,0.144,CC520055
404,0.12,CC520147
405,0.128,CC520053
