,mae,std,r2
Cortical Surface Area,11.193919738552433,0.7203256962036323,0.447914883516502
Cortical Thickness,7.258215629078795,0.3162576630007438,0.7293357305963067
Subcortical Volumes,6.773249270171158,0.6813085729969459,0.7706409873881933
"Connectivity Matrix, BASC 197 tan",6.118531996379723,0.6783512036989368,0.8041017961112908
"Connectivity Matrix, BASC 197 r2z",6.650719211780805,0.8113521830708949,0.7747569727598445
"Connectivity Matrix, MODL 256 tan",6.127694908616986,0.5436269310703242,0.8063578578497064
"Connectivity Matrix, MODL 256 r2z",6.024015692948079,0.510349938797909,0.8154889829335994
MEG,7.523751187138883,0.9456868257607095,0.7052508042085542
"MEG, Cortical Surface Area Stacked-multimodal",7.246637326073805,0.7849039785127333,0.7389094816209024
"MEG, Cortical Thickness Stacked-multimodal",6.31004204476709,0.45508915509055725,0.8024508655636915
"MEG, Subcortical Volumes Stacked-multimodal",6.172477011494253,0.7541266976303099,0.8140953974499225
"MEG, BASC 197 tan Stacked-multimodal",5.631615547489412,0.7604125450340451,0.8343888630792634
"MEG, MODL 256 r2z Stacked-multimodal",5.553263157894738,0.5670387884530672,0.8472555768343852
MRI Stacked,6.196250151240169,0.38603007495222297,0.8138043112411264
fMRI Stacked,5.765584392014519,0.7835490133402507,0.8287858422562493
"MRI, fMRI Stacked-multimodal",5.239033877797943,0.488449439775265,0.8587239510028402
"MEG, MRI Stacked-multimodal",5.6249767090139144,0.5117673560898145,0.8477987378532882
"MEG, fMRI Stacked-multimodal",5.631615547489412,0.7604125450340451,0.8343888630792634
"MEG, MRI, fMRI Stacked-multimodal",4.940201149425287,0.509780288592419,0.8753204074615212
